"id","year","league","team","防御率","先発防御率","救援防御率","勝","負","セーブ","奪三振","試合数","投球回","奪三振率","投球数","打者数","被安打","被本塁打","与四球","与死球","敬遠","失点","自責点","完投","完封","無四球","被打率","QS率","援護点","援護率","WHIP","UC打数","UC被安打","UC被打率","UC被本塁打","HP"
"1","2012","セ","巨","2.16","2.35","1.80","86","43","48","1,021","144","1285 2/3","7.15","20,051","5,180","1,043","64","346","48","12","354","309","9","6","1",".218","63.89%","417","4.03","1.08","2,293","505",".220","28","106"
"2","2012","セ","中","2.58","2.65","2.45","75","53","53","877","144","1285 1/3","6.14","19,519","5,173","1,078","65","304","48","20","405","369","8","2","4",".225","58.33%","296","2.95","1.08","2,469","565",".229","26","109"
"3","2012","セ","ヤ","3.35","3.40","3.32","68","65","35","843","144","1269 2/3","5.98","20,522","5,387","1,234","85","426","52","15","514","472","12","7","0",".252","55.56%","357","3.45","1.31","2,223","570",".256","34","78"
"4","2012","セ","広","2.72","2.59","3.03","61","71","34","955","144","1272 1/3","6.76","20,736","5,328","1,122","64","406","48","13","454","384","6","3","0",".231","63.89%","315","3.02","1.20","2,287","540",".236","30","69"
"5","2012","セ","阪","2.65","2.85","2.15","55","75","29","985","144","1272 1/3","6.97","20,622","5,278","1,141","73","361","50","23","438","374","8","4","1",".236","65.97%","293","2.77","1.18","2,281","557",".244","37","76"
"6","2012","セ","Ｄ","3.76","4.04","3.23","46","85","24","863","144","1258","6.17","20,958","5,404","1,210","97","449","54","31","571","525","11","3","2",".248","46.53%","277","2.85","1.32","2,098","548",".261","40","93"
"7","2013","セ","巨","3.20","3.52","2.57","84","53","48","1,094","144","1300 2/3","7.57","21,411","5,418","1,165","117","406","48","9","508","463","8","2","1",".235","55.56%","411","3.98","1.21","2,171","506",".233","55","108"
"8","2013","セ","阪","3.07","3.07","3.10","73","67","23","1,038","144","1296","7.21","21,194","5,377","1,165","114","382","33","18","488","442","14","7","5",".236","63.19%","380","3.64","1.19","2,261","526",".233","44","77"
"9","2013","セ","広","3.46","3.54","3.29","69","72","31","916","144","1290 2/3","6.39","21,240","5,451","1,192","114","442","56","18","554","496","6","1","2",".242","52.08%","414","4.11","1.27","2,033","517",".254","50","72"
"10","2013","セ","中","3.81","4.10","3.39","64","77","39","916","144","1298","6.35","21,611","5,620","1,297","110","461","50","34","599","550","2","1","1",".256","44.44%","340","3.67","1.35","2,344","625",".267","47","122"
"11","2013","セ","Ｄ","4.50","4.87","3.90","64","79","28","931","144","1279 1/3","6.55","22,200","5,632","1,340","153","538","45","13","686","640","9","4","0",".266","41.67%","352","3.77","1.47","1,980","559",".282","63","77"
"12","2013","セ","ヤ","4.26","4.35","4.13","57","83","31","965","144","1285 1/3","6.76","21,835","5,629","1,341","138","466","56","15","682","609","8","5","2",".263","47.22%","416","4.32","1.41","2,151","605",".281","57","89"
"13","2014","セ","巨","3.58","3.36","4.01","82","61","41","998","144","1306 1/3","6.88","21,543","5,510","1,288","122","362","49","18","552","520","10","4","3",".253","55.56%","405","4.02","1.26","2,307","581",".252","53","96"
"14","2014","セ","阪","3.88","3.73","4.20","75","68","39","1,174","144","1282","8.24","21,777","5,476","1,240","104","422","44","11","614","552","9","4","1",".248","59.03%","421","4.08","1.30","2,134","538",".252","46","89"
"15","2014","セ","広","3.79","3.80","3.75","74","68","29","933","144","1283 2/3","6.54","21,026","5,478","1,298","121","398","55","10","610","540","6","2","1",".259","52.08%","449","4.54","1.32","2,091","534",".255","52","74"
"16","2014","セ","中","3.69","3.94","3.24","67","73","35","970","144","1293 1/3","6.75","21,392","5,505","1,213","110","495","52","8","590","530","6","4","2",".245","50.00%","387","3.95","1.32","2,120","553",".261","45","106"
"17","2014","セ","Ｄ","3.77","3.89","3.53","67","75","30","939","144","1289 1/3","6.55","21,860","5,582","1,321","130","442","47","14","624","540","11","4","4",".260","52.78%","410","4.06","1.37","2,198","599",".273","59","114"
"18","2014","セ","ヤ","4.62","4.64","4.62","60","81","31","940","144","1283","6.59","21,678","5,645","1,386","161","462","40","22","717","659","5","2","0",".271","47.22%","440","4.55","1.44","1,934","555",".287","71","66"
"19","2015","セ","ヤ","3.31","3.68","2.67","76","65","42","935","143","1272 2/3","6.61","20,733","5,355","1,204","112","416","48","13","518","468","3","3","1",".247","51.05%","391","4.08","1.27","2,120","532",".251","56","105"
"20","2015","セ","巨","2.78","2.81","2.71","75","67","43","992","143","1271","7.02","20,257","5,214","1,096","99","365","39","10","443","393","11","5","2",".228","60.84%","354","3.43","1.15","2,503","590",".236","51","78"
"21","2015","セ","阪","3.47","3.20","4.16","70","71","42","1,090","143","1272 1/3","7.71","21,425","5,448","1,230","94","445","44","7","550","491","10","6","2",".248","60.14%","342","3.28","1.32","2,393","579",".242","36","68"
"22","2015","セ","広","2.93","2.96","2.86","69","71","36","1,010","143","1286 1/3","7.07","21,224","5,379","1,174","74","416","35","3","474","419","9","1","1",".238","66.43%","389","3.61","1.24","2,519","624",".248","39","71"
"23","2015","セ","中","3.19","3.28","3.01","62","77","34","966","143","1279","6.80","21,083","5,373","1,169","91","416","41","9","504","453","9","4","1",".238","58.74%","326","3.27","1.24","2,457","611",".249","42","93"
"24","2015","セ","Ｄ","3.80","4.00","3.44","62","80","40","1,003","143","1267 2/3","7.12","21,599","5,493","1,298","113","456","29","8","598","535","7","1","2",".260","50.35%","341","3.52","1.38","2,260","616",".273","49","88"
"25","2016","セ","広","3.21","3.29","3.06","89","52","37","966","143","1284","0.08","21,069","5,396","1,194","101","411","42","7","497","458","7","5","0",".242","62.24%","458","4.56","1.25","2,197","544",".248","48","98"
"26","2016","セ","巨","3.45","3.37","3.63","71","69","41","1,061","143","1282 1/3","0.09","21,437","5,422","1,248","119","392","49","3","543","492","8","3","3",".251","57.34%","398","3.91","1.28","2,444","618",".253","56","93"
"27","2016","セ","Ｄ","3.76","3.76","3.76","69","71","35","1,059","143","1274","0.09","21,217","5,438","1,253","143","397","31","22","588","532","9","5","1",".251","53.85%","409","3.92","1.30","2,166","537",".248","61","97"
"28","2016","セ","阪","3.38","3.43","3.29","64","76","31","1,166","143","1274 2/3","0.10","21,781","5,436","1,139","100","483","41","15","546","479","8","5","0",".233","60.84%","380","3.73","1.27","2,096","525",".250","41","80"
"29","2016","セ","ヤ","4.73","4.96","4.34","64","78","31","872","143","1260 2/3","0.08","21,392","5,541","1,333","147","457","75","19","694","663","7","2","3",".267","41.26%","399","4.18","1.42","1,862","529",".284","51","69"
"30","2016","セ","中","3.65","3.95","3.04","58","82","25","980","143","1281 1/3","0.08","21,783","5,468","1,222","115","464","48","5","573","519","8","2","2",".247","51.75%","339","3.39","1.32","2,302","598",".260","50","91"
"31","2017","セ","広","3.39","3.71","2.77","88","51","36","1,035","143","1290 2/3","0.09","21,580","5,446","1,182","92","473","26","3","540","486","4","2","1",".239","58.04%","528","5.24","1.28","2,214","544",".246","40","114"
"32","2017","セ","阪","3.30","3.66","2.68","78","61","38","1,223","143","1285 2/3","0.11","21,489","5,446","1,178","92","445","62","3","528","472","4","1","0",".239","47.55%","430","4.01","1.26","2,165","536",".248","34","129"
"33","2017","セ","Ｄ","3.81","3.76","3.92","73","65","35","1,117","143","1286","0.10","21,984","5,482","1,202","128","478","45","14","598","545","5","3","0",".243","49.65%","446","4.54","1.31","2,123","524",".247","54","137"
"34","2017","セ","巨","3.32","3.26","3.42","72","68","31","1,083","143","1276","0.09","20,823","5,312","1,182","116","358","50","5","504","470","9","6","4",".241","58.74%","394","3.85","1.21","2,037","498",".244","57","57"
"35","2017","セ","中","4.06","4.10","3.99","59","79","37","949","143","1281","0.08","21,781","5,498","1,231","127","491","65","4","623","578","6","2","0",".249","50.35%","344","3.43","1.34","2,428","565",".233","57","98"
"36","2017","セ","ヤ","4.23","4.16","4.35","45","96","18","1,011","143","1261","0.09","21,350","5,435","1,271","157","417","45","14","653","592","6","2","1",".256","48.95%","327","3.33","1.34","2,070","551",".266","66","85"
"37","2018","セ","広","4.12","4.26","3.87","82","59","38","1,041","143","1282","0.09","22,471","5,592","1,267","138","510","37","25","651","587","3","0","2",".252","45.45%","522","5.35","1.39","1,971","520",".264","44","98"
"38","2018","セ","ヤ","4.13","4.32","3.84","75","66","40","1,018","143","1274 1/3","0.09","21,681","5,540","1,286","143","440","53","24","665","585","4","2","2",".256","40.56%","405","4.45","1.35","2,098","561",".267","57","100"
"39","2018","セ","巨","3.79","3.63","4.12","67","71","25","1,040","143","1279","0.09","21,082","5,421","1,246","144","385","51","21","575","538","21","13","5",".251","50.35%","455","4.38","1.28","1,954","495",".253","55","73"
"40","2018","セ","Ｄ","4.18","4.30","4.01","67","74","38","1,163","143","1269","0.10","21,899","5,490","1,264","149","433","46","56","642","590","2","1","0",".255","31.47%","335","3.77","1.34","2,036","527",".259","63","136"
"41","2018","セ","中","4.36","4.08","4.93","63","78","28","941","143","1262 2/3","0.08","21,789","5,494","1,249","149","520","50","6","654","611","9","7","1",".254","48.95%","437","4.33","1.40","2,094","554",".265","73","78"
"42","2018","セ","阪","4.03","4.23","3.70","62","79","35","1,182","143","1276","0.10","22,075","5,526","1,238","127","485","51","24","628","572","4","2","1",".249","46.15%","362","3.80","1.35","1,979","501",".253","49","95"
"43","2019","セ","巨","3.77","3.83","3.68","77","64","34","1,139","143","1279 1/3","0.10","21,439","5,459","1,227","150","421","58","25","573","536","3","1","1",".248","48.25%","468","4.79","1.29","2,036","523",".257","60","112"
"44","2019","セ","Ｄ","3.93","4.04","3.80","71","69","30","1,172","143","1274","0.10","21,776","5,470","1,201","137","456","36","62","611","557","6","6","0",".244","37.06%","358","4.14","1.30","2,124","536",".252","61","111"
"45","2019","セ","阪","3.46","3.90","2.70","69","68","36","1,135","143","1289 2/3","0.10","21,417","5,445","1,209","115","415","53","29","566","496","5","3","0",".244","43.36%","323","3.35","1.26","2,245","555",".247","46","145"
"46","2019","セ","広","3.68","3.75","3.63","70","70","23","1,068","143","1280 1/3","0.09","21,864","5,515","1,198","135","481","48","32","601","524","10","4","5",".242","52.45%","385","4.04","1.31","2,207","566",".256","54","95"
"47","2019","セ","中","3.72","3.96","3.32","68","73","37","1,088","143","1269","0.10","21,352","5,352","1,155","146","430","50","22","544","525","3","2","0",".238","46.15%","402","4.09","1.25","2,145","555",".259","65","123"
"48","2019","セ","ヤ","4.78","5.05","4.42","59","82","28","1,068","143","1270","0.09","21,964","5,608","1,365","168","450","46","23","739","675","3","1","2",".268","37.06%","430","4.85","1.43","1,998","562",".281","66","111"
"49","2020","セ","巨","3.34","3.20","3.60","67","45","27","886","120","1060 2/3","7.52","17,580","4,429","901","114","374","59","16","421","394","4","4","0",".226","46.67%","393","4.93","1.20","1,732","373",".215","42","96"
"50","2020","セ","阪","3.35","3.38","3.39","60","53","30","867","120","1054 1/3","7.40","17,204","4,433","952","94","345","29","26","460","393","8","2","4",".236","55.00%","338","4.07","1.23","1,727","416",".241","44","80"
"51","2020","セ","中","3.84","3.57","4.33","60","55","31","947","120","1055","8.08","17,595","4,431","1,002","116","325","36","15","489","450","11","6","2",".247","45.00%","276","3.45","1.26","1,721","421",".245","43","94"
"52","2020","セ","Ｄ","3.76","3.92","3.54","56","58","24","932","120","1045","8.03","17,656","4,451","997","98","337","38","55","474","437","4","1","1",".248","40.83%","308","4.17","1.28","1,727","468",".271","47","104"
"53","2020","セ","広","4.06","3.74","4.64","52","56","21","913","120","1069","7.69","18,533","4,636","1,065","113","410","28","19","529","482","8","2","2",".255","51.67%","337","4.09","1.38","1,665","437",".262","46","56"
"54","2020","セ","ヤ","4.61","4.83","4.33","41","69","21","884","120","1063","7.48","18,464","4,713","1,177","139","383","28","21","589","545","1","1","0",".275","30.83%","305","4.23","1.47","1,766","497",".281","49","88"
"55","2021","セ","ヤ","3.48","3.63","3.25","73","52","44","1,129","143","1260 1/3","8.06","20,640","5,287","1,216","144","338","50","25","531","487","3","1","3",".249","43.36%","424","4.76","1.23","2,364","596",".252","69","149"
"56","2021","セ","阪","3.29","3.04","3.80","77","56","43","986","143","1257","7.06","20,234","5,244","1,136","115","352","31","36","508","460","6","2","3",".235","55.94%","394","3.90","1.18","2,141","502",".234","41","92"
"57","2021","セ","巨","3.67","3.79","3.49","61","62","33","1,079","143","1252 2/3","7.75","20,983","5,295","1,132","139","444","56","20","541","511","4","2","0",".237","44.76%","350","3.88","1.26","2,068","494",".239","59","112"
"58","2021","セ","広","3.82","3.99","3.50","63","68","37","1,034","143","1253 2/3","7.42","21,539","5,422","1,224","124","464","45","19","589","532","5","3","1",".250","58.04%","388","3.98","1.35","2,166","552",".255","53","96"
"59","2021","セ","中","3.22","3.37","2.92","55","71","36","1,005","143","1243","7.28","20,679","5,163","1,145","98","359","38","17","478","445","4","2","2",".241","52.45%","294","2.98","1.21","2,190","534",".244","57","100"
"60","2021","セ","D","4.16","4.34","3.89","54","73","27","1,057","143","1248 1/3","7.62","21,264","5,347","1,237","124","442","51","19","624","577","3","2","1",".256","40.56%","360","4.09","1.34","1,991","543",".273","47","97"
"61","2023","セ","阪","2.66","2.79","2.39","85","53","45","1,009","143","1288","7.05","20,077","5,215","1,105","88","299","42","16","424","381","10","6","5",".227","59.44%","399","3.89","1.09","2,440","560",".230","38","131"
"62","2023","セ","広","3.20","3.24","3.14","74","65","46","975","143","1275","6.88","20,600","5,357","1,187","109","374","42","27","508","454","9","7","2",".242","51.75%","325","3.25","1.22","2,392","586",".245","50","122"
"63","2023","セ","D","3.16","3.14","3.19","74","66","42","1,158","143","1289 1/3","8.08","20,726","5,361","1,206","118","333","43","26","496","452","10","3","4",".243","54.55%","361","3.57","1.19","2,382","580",".243","56","119"
"64","2023","セ","巨","3.40","3.16","3.83","71","70","31","1,075","143","1276 1/3","7.58","21,070","5,295","1,117","129","386","62","17","507","482","8","3","3",".231","55.24%","322","3.35","1.18","2,366","539",".228","54","120"
"65","2023","セ","ヤ","3.66","3.95","3.21","57","83","33","953","143","1267 2/3","6.77","20,636","5,336","1,215","143","342","63","40","567","516","3","3","1",".248","45.45%","366","3.96","1.23","2,235","570",".255","67","130"
